(1629623072.823000) can0  220#250E800F930B
(1629623073.200000) can0  200#76915A8D30CF3C00
(1629623073.200000) can0  240#BA060000
(1629623073.970000) can0  220#240E800F930B
(1629623073.295000) can0  200#6F91578D62BA3C00
(1629623073.359000) can0  220#230E800F930B
(1629623073.556000) can0  200#7691578D76C43C00
(1629623073.556000) can0  240#BA060000
(1629623073.633000) can0  220#230E800F930B
(1629623073.830000) can0  200#60915A8DDFC73C00
(1629623073.830000) can0  240#BA060000
(1629623073.896000) can0  220#220E7A0F930B
(1629623074.930000) can0  200#5E91598D08BA3C00
(1629623074.930000) can0  240#BA060000
(1629623074.170000) can0  220#210E7A0F930B
(1629623074.367000) can0  200#73915A8DF2C43C00
(1629623074.432000) can0  220#1F0E790F930B
(1629623074.629000) can0  200#74915A8D22BB3C00
(1629623074.630000) can0  240#B8060000
(1629623074.704000) can0  220#1E0E790F930B
(1629623074.902000) can0  240#BA060000
(1629623074.967000) can0  220#1D0E790F930B
(1629623075.164000) can0  200#6B91578D4ACC3C00
(1629623075.164000) can0  240#BB060000
(1629623075.241000) can0  220#1C0E790F930B
(1629623075.438000) can0  200#6F91538D5BB83C00
(1629623075.438000) can0  240#BA060000
(1629623075.514000) can0  220#1B0E790F7D0B
(1629623075.711000) can0  200#6A91588D33B93C00
(1629623075.712000) can0  240#BA060000
(1629623075.788000) can0  220#1B0E790F7D0B
(1629623075.985000) can0  200#6F915A8D58B93C00
(1629623075.985000) can0  240#BA060000
(1629623076.620000) can0  220#1A0E790F7D0B
(1629623076.259000) can0  200#6991578D34BA3C00
(1629623076.259000) can0  240#BA060000
(1629623076.336000) can0  220#190E790F7D0B
(1629623076.533000) can0  200#71915C8D58C43C00
(1629623076.533000) can0  240#BA060000
(1629623076.610000) can0  220#190E790F7D0B
(1629623076.807000) can0  200#74915E8D28C53C00
(1629623076.807000) can0  240#BA060000
(1629623076.884000) can0  220#180E790F7D0B
(1629623077.800000) can0  200#7291638D2FCF3C00
(1629623077.800000) can0  240#BA060000
(1629623077.157000) can0  220#170E700F7D0B
(1629623077.354000) can0  200#55914C8DDDB43C00
(1629623077.354000) can0  240#BA060000
(1629623077.431000) can0  220#160E700F7D0B
(1629623077.629000) can0  200#71915A8DFCBA3C00
(1629623077.629000) can0  240#BA060000
(1629623077.705000) can0  220#180E700F7D0B
(1629623077.902000) can0  200#75915B8D20C53C00
(1629623077.902000) can0  240#BA060000
(1629623077.978000) can0  220#180E700F7D0B
(1629623078.175000) can0  200#6F915D8D6DBB3C00
(1629623078.176000) can0  240#BA060000
(1629623078.252000) can0  220#170E700F7D0B
(1629623078.449000) can0  200#5E914D8D2FBF3C00
(1629623078.449000) can0  240#F5060000
(1629623078.526000) can0  220#180E700F7D0B
(1629623078.723000) can0  200#2991FB8AB6C13B00
(1629623078.723000) can0  240#35070000
(1629623078.800000) can0  220#1A0E700F7D0B
(1629623078.997000) can0  200#7F8D0389B6F33A00
(1629623078.997000) can0  240#75070000
(1629623079.740000) can0  220#1D0E700F7D0B
(1629623079.271000) can0  200#B38CA68698303A00
(1629623079.271000) can0  240#AF070000
(1629623079.347000) can0  220#220E700F7D0B
(1629623079.544000) can0  200#63899F8312F23800
(1629623079.544000) can0  240#E9070000
(1629623079.621000) can0  220#280E700F7D0B
(1629623079.818000) can0  200#07897F82FDC03800
(1629623079.818000) can0  240#2D080000
(1629623079.895000) can0  220#2E0E8E0F7D0B
(1629623080.920000) can0  200#C9888E7E32183700
(1629623080.920000) can0  240#75080000
(1629623080.169000) can0  220#380E8E0F7D0B
(1629623080.366000) can0  200#4E85247D2CB33600
(1629623080.366000) can0  240#C3070000
(1629623080.443000) can0  220#400ED20F7D0B
(1629623080.640000) can0  200#2E885B82C9693800
(1629623080.640000) can0  240#F7070000
(1629623080.716000) can0  220#4A0ED20F7D0B
(1629623080.913000) can0  200#6B8866836CA43800
(1629623080.913000) can0  240#C2070000
(1629623080.990000) can0  220#550EE20F7D0B
(1629623081.187000) can0  200#A587B980C3D73700
(1629623081.187000) can0  240#4B080000
(1629623081.264000) can0  220#630EE20F7D0B
(1629623081.461000) can0  200#BD86EC7856FB3400
(1629623081.461000) can0  240#F9080000
(1629623081.538000) can0  220#790EFC0F7D0B
(1629623081.735000) can0  200#DD7F187835863400
(1629623081.735000) can0  240#5C090000
(1629623081.812000) can0  220#8F0E4A107D0B
(1629623082.850000) can0  220#9F0E5010DB0B
(1629623082.282000) can0  200#E279367186A33100
(1629623082.282000) can0  240#D0090000
(1629623082.359000) can0  220#B30E5810DB0B
